OUTLIERS: 

60. invoice_number: 8042583085 	price: 241.29 	item_sku: 53106-441 	size: CS 	z-score: 5.42538940308
61. invoice_number: 8041185905 	price: 13.2 	item_sku: 2008711 	size: EA 	z-score: 5.41602560309
62. invoice_number: 8041116112 	price: 13.2 	item_sku: 2008711 	size: EA 	z-score: 5.41602560309
63. invoice_number: 8041112013 	price: 13.2 	item_sku: 2008711 	size: EA 	z-score: 5.41602560309
64. invoice_number: 8041098852 	price: 128.45 	item_sku: 97000-586 	size: CS 	z-score: 5.41065377118
65. invoice_number: 8041092663 	price: 204.84 	item_sku: 89039-666 	size: CS 	z-score: 5.39944344843
66. invoice_number: 8041544345 	price: 204.84 	item_sku: 89039-666 	size: CS 	z-score: 5.39944344843
67. invoice_number: 8041513661 	price: 171.67 	item_sku: 89031-372 	size: PK 	z-score: 5.39436734075
68. invoice_number: 8041545081 	price: 186.98 	item_sku: BD353136 	size: CS 	z-score: 5.36544305186
69. invoice_number: 8041525504 	price: 148.86 	item_sku: 14672-380 	size: CS 	z-score: 5.3627994
70. invoice_number: 8042615200 	price: 6.19 	item_sku: 37002-028 	size: PK 	z-score: 5.35412613474
71. invoice_number: 8041547239 	price: 6.19 	item_sku: 37002-028 	size: PK 	z-score: 5.35412613474
72. invoice_number: 8041577480 	price: 6.19 	item_sku: 37002-028 	size: PK 	z-score: 5.35412613474
73. invoice_number: 8041094797 	price: 11.2 	item_sku: 82007-162 	size: EA 	z-score: 5.33984378129
74. invoice_number: 8041420586 	price: 252.71 	item_sku: 15705-074 	size: CS 	z-score: 5.32738474169
75. invoice_number: 8041557303 	price: 136.41 	item_sku: 29443-047 	size: CS 	z-score: 5.30771843878
76. invoice_number: 8042605960 	price: 12.23 	item_sku: 82050-598 	size: CS 	z-score: 5.29533138596
77. invoice_number: 8041550578 	price: 31.97 	item_sku: 32934-082 	size: PK 	z-score: 5.28556860031
78. invoice_number: 8041523898 	price: 704.82 	item_sku: BJAH230-4 	size: CS 	z-score: 5.25373092213
79. invoice_number: 8042581443 	price: 582.96 	item_sku: 45000-436 	size: PK 	z-score: 5.21878763877
80. invoice_number: 8041565557 	price: 34.38 	item_sku: TW-TX1048 	size: PK 	z-score: 5.20875533929
81. invoice_number: 8041544340 	price: 231.68 	item_sku: 21899-864 	size: EA 	z-score: 5.19819973925
82. invoice_number: 8042494097 	price: 55.3 	item_sku: TX237577DUP 	size: CS 	z-score: 5.19615242271
